# dx dy dz
0.905809 0.116845 -0.407256
0.731206 -0.331946 -0.595945
-0.208116 -0.561157 -0.801118
0.24697 -0.857053 -0.452178
0.442733 -0.449731 -0.775712
-0.734388 -0.489373 -0.470307
-0.0275361 0.0631225 -0.997626
0.466051 0.738235 -0.487652
-0.534341 -0.714483 -0.451657
0.505539 0.548242 -0.666229
-0.534551 0.272402 -0.800033
-0.348549 -0.927658 -0.13403
0.201432 -0.420692 -0.884558
0.936519 -0.100922 -0.335778
-0.0315596 -0.805203 -0.592158
0.629423 -0.567107 -0.531239
-0.0476495 0.62832 -0.776494
-0.581719 -0.00346645 -0.813383
0.472515 -0.65398 -0.590796
-0.727607 0.00706182 -0.685957
-0.475606 -0.802368 -0.36056
-0.912854 -0.0602978 -0.403808
0.0187931 -0.573504 -0.818987
-0.787758 -0.426687 -0.44427
0.123865 -0.373216 -0.919439
-0.578991 0.485317 -0.655162
0.0215863 0.853018 -0.521435
0.471272 -0.290674 -0.832713
0.721266 -0.51491 -0.463297
-0.41501 -0.443542 -0.794378
-0.659832 0.114577 -0.742626
-0.561978 -0.223243 -0.796457
-0.324864 -0.76622 -0.55441
-0.415271 -0.493439 -0.764243
-0.756172 -0.111453 -0.644811
0.0957165 -0.653068 -0.751226
0.54494 0.161144 -0.822845
0.470623 0.310634 -0.825845
-0.290671 0.0464636 -0.955694
0.227809 -0.878485 -0.419961
-0.813379 0.302772 -0.496734
3.23677e-05 0.739445 -0.673217
0.608267 0.369964 -0.702238
0.447091 -0.372669 -0.813159
-0.120489 -0.230707 -0.965534
0.661531 -0.104126 -0.742654
0.641874 -0.520468 -0.563126
-0.40002 -0.512655 -0.759717
0.0572376 0.0758367 -0.995476
0.711044 0.429153 -0.556996
0.463608 -0.511507 -0.723483
-0.103644 0.742386 -0.661908
-0.499192 0.669557 -0.550001
0.423711 0.0220616 -0.905529
-0.0574159 -0.290802 -0.955059
0.0702764 0.716587 -0.693948
-0.207476 -0.321739 -0.923817
0.113544 -0.592302 -0.797676
0.362647 0.192622 -0.911802
-0.443397 -0.711025 -0.54575
-0.172507 -0.142732 -0.974612
0.357435 -0.430395 -0.828855
-0.102675 -0.293979 -0.950281
0.0441006 -0.595399 -0.802219
-0.271612 0.957942 -0.0925921
-0.419051 0.169249 -0.892049
-0.0362282 0.0208141 -0.999127
0.781796 -0.232768 -0.578459
-0.395236 -0.504512 -0.76763
0.573414 0.39728 -0.716495
-0.64164 0.371302 -0.671142
-0.106067 0.370569 -0.922729
-0.0645719 0.429845 -0.900591
-0.796926 -0.260478 -0.545032
0.93059 0.262132 -0.255516
0.27281 0.423976 -0.863608
0.249318 -0.236669 -0.939057
-0.223198 0.0712542 -0.972165
0.00374316 0.184199 -0.982882
0.4841 -0.403152 -0.776605
0.0388442 -0.0992159 -0.994307
0.702633 -0.0915323 -0.705641
-0.0844336 -0.924152 -0.372577
-0.249481 0.00382554 -0.968372
-0.105556 -0.60408 -0.789902
0.0472894 0.648917 -0.759388
0.00678756 -0.147426 -0.98905
0.792563 0.254556 -0.554117
-0.632011 -0.227147 -0.740923
-0.596401 -0.132846 -0.791618
0.0821586 -0.171386 -0.981772
0.096519 -0.783677 -0.613624
-0.824993 0.535033 -0.182005
-0.548117 -0.0567127 -0.834477
0.206729 0.738673 -0.64158
0.780054 0.509001 -0.363915
0.62787 0.703599 -0.332758
-0.285772 -0.717155 -0.635628
-0.579193 -0.413254 -0.702678
0.793254 0.224691 -0.565917
-0.0628491 0.793266 -0.605623
-0.0573265 0.846779 -0.528847
0.633655 -0.354172 -0.687782
0.103991 -0.799853 -0.591119
-0.519971 0.85266 -0.0510096
0.509436 0.803023 -0.30924
0.405437 -0.875382 -0.263302
-0.0540719 -0.932194 -0.357899
0.50559 -0.262703 -0.821807
0.00740294 -0.260851 -0.965351
0.317891 -0.741231 -0.591205
0.0536526 -0.94703 -0.316631
0.702034 0.55804 -0.442425
-0.521273 -0.0307099 -0.852837
-0.475616 -0.436839 -0.763519
0.711277 -0.652721 -0.260845
-0.185997 -0.492547 -0.850178
0.1302 -0.558744 -0.819056
-0.234124 -0.263769 -0.935741
0.318437 -0.946084 -0.059351
-0.696895 -0.173784 -0.695799
0.919289 -0.0370553 -0.391835
-0.14686 0.545149 -0.825375
-0.432846 -0.610828 -0.662974
-0.404282 -0.101477 -0.908988
-0.50734 0.765233 -0.396264
0.365626 0.0793563 -0.927373
-0.470338 0.0357885 -0.881761
-0.0306728 -0.152005 -0.987904
0.440194 -0.684979 -0.580546
-0.756228 0.324193 -0.568347
0.828497 -0.278176 -0.486015
0.0159626 0.106392 -0.994196
0.150195 0.0288747 -0.988235
0.622105 0.109494 -0.775239
-0.105294 -0.124555 -0.98661
0.295646 0.499331 -0.814409
0.252482 0.435141 -0.864237
-0.0577518 0.75032 -0.658547
0.6829 0.477665 -0.552706
0.485831 0.676549 -0.553399
0.113062 0.391488 -0.913211
0.223776 -0.1851 -0.956902
0.633633 0.530543 -0.563057
-0.682573 0.451856 -0.574388
0.615488 -0.404638 -0.676345
0.141034 0.0627354 -0.988015
-0.380037 0.644805 -0.663172
-0.671558 0.665738 -0.325274
0.867934 0.0934996 -0.487799
0.628406 -0.646811 -0.432135
-0.259657 0.586847 -0.766935
-0.261113 0.961917 -0.080846
-0.523327 -0.414317 -0.744627
