# Flux Map Data - Generated: 2025-04-02 11:38:01
# Number of rays per position: 50000
# Detector dimensions: 40cm x 40cm
# Sphere inner radius: 100.1cm
# Sphere outer radius: 101cm
# Exit port angle: 175 degrees
# Theta bins: 180
# Phi bins: 90
# Mirror reflectance: 0.99
# Gaussian roughness: 0.01
# Lambertian scattering: enabled
# Source position (x,y,z): -60cm, 0cm, -75cm
# Source direction (x,y,z): 5, 0, 0
# Max reflections: 50000
theta,phi,fraction
3.750000,314.000000,0.005660
3.750000,318.000000,0.005720
3.750000,322.000000,0.005400
3.750000,326.000000,0.005800
3.750000,330.000000,0.006480
3.750000,334.000000,0.006020
3.750000,338.000000,0.006240
3.750000,342.000000,0.005780
3.750000,346.000000,0.005660
3.750000,350.000000,0.006640
3.750000,354.000000,0.006140
3.750000,358.000000,0.005680
4.250000,2.000000,0.005960
4.250000,6.000000,0.006040
4.250000,10.000000,0.005880
4.250000,14.000000,0.005940
4.250000,18.000000,0.005760
4.250000,22.000000,0.006320
4.250000,26.000000,0.006240
4.250000,30.000000,0.006300
4.250000,34.000000,0.006080
4.250000,38.000000,0.006040
4.250000,42.000000,0.005900
4.250000,46.000000,0.006080
4.250000,50.000000,0.005640
4.250000,54.000000,0.005560
4.250000,58.000000,0.005880
4.250000,62.000000,0.005220
4.250000,66.000000,0.005940
4.250000,70.000000,0.006080
4.250000,74.000000,0.006260
4.250000,78.000000,0.006440
4.250000,82.000000,0.006280
4.250000,86.000000,0.006100
4.250000,90.000000,0.006380
4.250000,94.000000,0.006400
4.250000,98.000000,0.006420
4.250000,102.000000,0.005840
4.250000,106.000000,0.006340
4.250000,110.000000,0.005960
4.250000,114.000000,0.005920
4.250000,118.000000,0.005940
4.250000,122.000000,0.005880
4.250000,126.000000,0.006300
4.250000,130.000000,0.005820
4.250000,134.000000,0.006240
4.250000,138.000000,0.006060
4.250000,142.000000,0.006060
4.250000,146.000000,0.006060
4.250000,150.000000,0.006120
4.250000,154.000000,0.005980
4.250000,158.000000,0.006320
4.250000,162.000000,0.005720
4.250000,166.000000,0.006100
4.250000,170.000000,0.005880
4.250000,174.000000,0.006280
4.250000,178.000000,0.006320
4.250000,182.000000,0.005600
4.250000,186.000000,0.005400
4.250000,190.000000,0.005660
4.250000,194.000000,0.005680
4.250000,198.000000,0.005400
4.250000,202.000000,0.006400
4.250000,206.000000,0.005940
4.250000,210.000000,0.005580
4.250000,214.000000,0.006200
4.250000,218.000000,0.005880
4.250000,222.000000,0.005980
4.250000,226.000000,0.006200
4.250000,230.000000,0.006020
4.250000,234.000000,0.006440
4.250000,238.000000,0.005700
4.250000,242.000000,0.005980
4.250000,246.000000,0.005920
4.250000,250.000000,0.006640
4.250000,254.000000,0.006380
4.250000,258.000000,0.006120
4.250000,262.000000,0.006400
4.250000,266.000000,0.005960
4.250000,270.000000,0.006340
4.250000,274.000000,0.006280
4.250000,278.000000,0.006000
4.250000,282.000000,0.006040
4.250000,286.000000,0.006480
